work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1.0,3,2,57,0.003269926940038175,21,0.12529936305732484,84,0.0,74,1
1.0,2,2,124,0.005405449878233396,21,0.20796178343949043,84,0.0,74,1
1.0,2,2,124,0.003175804646876851,21,0.12165605095541401,84,0.0,74,1
1.0,0,2,46,0.0022806555650628575,21,0.08700636942675159,84,0.0,74,1
1.0,0,2,46,0.0011024814059106165,21,0.04140127388535031,84,0.0,74,1
1.0,3,2,90,0.006121240044757454,21,0.2356687898089172,84,1.0,74,1
1.0,3,2,90,0.004426380569999342,21,0.1700636942675159,84,1.0,74,1
1.0,3,2,54,0.004080826696504969,21,0.15668789808917197,84,0.0,74,1
1.0,3,2,54,0.0034884486276574736,21,0.1337579617834395,84,0.0,74,1
1.0,3,2,147,0.007766734680444941,21,0.29936305732484075,84,0.0,74,1
1.0,3,2,147,0.006121240044757454,21,0.2356687898089172,84,0.0,74,1
1.0,3,2,57,0.003159349700519976,21,0.12101910828025478,84,1.0,74,1
1.0,3,2,57,0.002501151846244981,21,0.09554140127388534,84,1.0,74,1
1.0,2,2,57,0.004212466267359968,21,0.16178343949044585,84,1.0,74,1
1.0,2,2,57,0.0038010926084380966,21,0.14585987261146496,84,1.0,74,1
1.0,2,2,75,0.006468571052458369,21,0.24911337579617832,84,0.0,74,1
1.0,2,2,75,0.003870071743566116,21,0.14852993630573247,84,0.0,74,1
1.0,3,2,57,0.0051339432633449615,21,0.19745222929936304,84,0.0,74,1
1.0,3,2,57,0.0038175475547949714,21,0.1464968152866242,84,0.0,74,1
1.0,3,2,57,0.004790034884486276,21,0.18414012738853502,84,0.0,74,1
1.0,3,2,57,0.0032580793786612253,21,0.12484076433121019,84,0.0,74,1
1.0,2,2,57,0.00398209701836372,21,0.15286624203821655,84,0.0,74,1
1.0,2,2,57,0.0028302507733824786,21,0.10828025477707007,84,0.0,74,1
1.0,2,2,120,0.007615349173961693,21,0.2935031847133758,84,0.0,74,1
1.0,2,2,120,0.004113736589218719,21,0.15796178343949044,84,0.0,74,1
1.0,3,2,57,0.005792141117619956,21,0.22292993630573246,84,0.0,74,1
1.0,3,2,57,0.005035213585203712,21,0.19363057324840763,84,0.0,74,1
1.0,3,2,120,0.009543868886987428,21,0.3681528662420382,84,0.0,74,1
1.0,3,2,120,0.007569275324162444,21,0.2917197452229299,84,0.0,74,1
1.0,0,2,46,0.0011847561376949912,7,0.06050955414012739,84,0.0,74,1
1.0,0,2,46,0.0009872967814124924,7,0.050955414012738856,84,0.0,74,1
1.0,3,2,90,0.007687750937931942,21,0.29630573248407643,84,0.0,74,0
1.0,3,2,90,0.003728690844467847,21,0.14305732484076433,84,0.0,74,0
1.0,3,2,81,0.006450338971894952,21,0.2484076433121019,84,0.0,74,1
1.0,3,2,81,0.0051339432633449615,21,0.19745222929936304,84,0.0,74,1
1.0,2,2,17,0.006851839663002698,21,0.2639490445859872,84,0.0,74,0
1.0,2,2,17,0.004015006911077469,21,0.15414012738853503,84,0.0,74,0
1.0,2,2,145,0.006121240044757454,21,0.2356687898089172,84,1.0,74,1
1.0,2,2,145,0.0045185282695978405,21,0.17363057324840764,84,1.0,74,1
1.0,2,2,90,0.003159349700519976,21,0.12101910828025478,84,1.0,74,1
1.0,2,2,90,0.002501151846244981,21,0.09554140127388534,84,1.0,74,1
1.0,0,2,46,0.004673204765352465,21,0.17961783439490445,84,0.0,74,1
1.0,0,2,46,0.00263279141709998,21,0.10063694267515923,84,0.0,74,1
1.0,2,2,147,0.00654248667149345,21,0.2519745222929936,84,0.0,74,0
1.0,2,2,147,0.003623379187783848,21,0.13898089171974523,84,0.0,74,0
1.0,2,2,11,0.005956690581188705,21,0.22929936305732482,84,0.0,74,1
1.0,2,2,11,0.004146646481932468,21,0.1592356687898089,84,0.0,74,1
1.0,3,2,63,0.006090568024748239,21,0.2344815286624204,84,0.0,74,1
1.0,3,2,63,0.004475745409069966,21,0.17197452229299362,84,0.0,74,1
1.0,1,2,81,0.007796353583887316,21,0.30050955414012737,84,0.0,74,1
1.0,1,2,81,0.005235963930757585,21,0.2014012738853503,84,0.0,74,1
1.0,2,2,46,0.0026657013098137297,21,0.1019108280254777,84,0.0,74,1
1.0,2,2,46,0.0021720529191074835,21,0.08280254777070063,84,0.0,74,1
1.0,0,2,90,0.0015138550648324885,6,0.06581656050955415,30,0.0,26,1
1.0,0,2,90,0.0008556572105574935,6,0.037508280254777066,30,0.0,26,1
1.0,3,2,57,0.004080826696504969,21,0.15668789808917197,84,0.0,74,1
1.0,3,2,57,0.002369512275389982,21,0.09044585987261146,84,0.0,74,1
1.0,3,2,2,0.005685315605871125,21,0.21879490445859873,84,0.0,74,1
1.0,3,2,2,0.002863160666096228,21,0.10955414012738854,84,0.0,74,1
1.0,3,2,90,0.007240176397024945,21,0.2789808917197452,84,0.0,74,1
1.0,3,2,90,0.004344105838214967,21,0.16687898089171974,84,0.0,74,1
1.0,2,2,147,0.0027051931810702294,21,0.10343949044585987,84,1.0,74,1
1.0,2,2,147,0.001836372013427236,21,0.06980891719745223,84,1.0,74,1
1.0,3,2,105,0.0027051931810702294,21,0.10343949044585987,84,1.0,74,1
1.0,3,2,105,0.001836372013427236,21,0.06980891719745223,84,1.0,74,1
1.0,3,2,29,0.0051339432633449615,21,0.19745222929936304,84,0.0,74,1
1.0,3,2,29,0.004475745409069966,21,0.17197452229299362,84,0.0,74,1
